Firm,Period,Balanced,Equal-Weights,SBERT-Heavy,LDA-JSD-Heavy,Jaccard-Heavy,Rank Spread
BP,2020->2021,89.0,87.0,94.0,64.0,88.0,30.0
TotalEnergies,2023->2024,90.0,84.0,96.0,93.0,77.0,19.0
Repsol,2017->2018,91.0,83.0,95.0,91.0,91.0,12.0
Equinor,2020->2021,92.0,92.0,88.0,98.0,90.0,10.0
Equinor,2014->2015,93.0,90.0,93.0,97.0,87.0,10.0
Equinor,2019->2020,94.0,88.0,97.0,94.0,89.0,9.0
RioTinto,2016->2017,95.0,93.0,90.0,100.0,94.0,10.0
TotalEnergies,2017->2018,96.0,89.0,99.0,92.0,96.0,10.0
Glencore,2020->2021,97.0,98.0,84.0,104.0,98.0,20.0
Unilever,2022->2023,98.0,76.0,100.0,95.0,105.0,29.0
Glencore,2015->2016,99.0,106.0,75.0,89.0,101.0,31.0
Repsol,2023->2024,100.0,91.0,102.0,101.0,99.0,11.0
Equinor,2016->2017,101.0,99.0,98.0,105.0,97.0,8.0
Shell,2022->2023,102.0,95.0,101.0,102.0,100.0,7.0
Repsol,2021->2022,103.0,103.0,104.0,67.0,103.0,37.0
Chevron,2015->2016,104.0,101.0,103.0,103.0,102.0,3.0
Glencore,2022->2023,105.0,105.0,105.0,99.0,104.0,6.0
ConocoPhillips,2023->2024,106.0,104.0,106.0,106.0,106.0,2.0
