firm_name,mean_veris,mean_social_index
BP,0.15511999999999998,0.6098181818181818
Chevron,0.21341000000000002,0.6501181818181818
ConocoPhillips,0.2592,0.6794
Eni,0.18316666666666664,0.66564
Equinor,0.18112,0.6317090909090909
ExxonMobil,0.4265333333333334,0.6481
Glencore,0.15802,0.5193363636363636
Repsol,0.1498142857142857,0.569225
RioTinto,0.371,0.6389636363636364
Shell,0.17436666666666667,0.68939
TotalEnergies,0.16290000000000002,0.7340666666666666
Unilever,0.25287000000000004,0.7757727272727273
