firm_name,year_from,year_to,sbert_drift,eu_flag,period,group
ExxonMobil,2022,2023,0.1696,False,Post-CSRD (2021+),"Non-EU Firms
Post-CSRD (2021+)"
ExxonMobil,2023,2024,0.0179,False,Post-CSRD (2021+),"Non-EU Firms
Post-CSRD (2021+)"
Glencore,2014,2015,0.012,False,Pre-CSRD (before 2021),"Non-EU Firms
Pre-CSRD (before 2021)"
Glencore,2015,2016,0.0182,False,Pre-CSRD (before 2021),"Non-EU Firms
Pre-CSRD (before 2021)"
Glencore,2016,2017,0.0176,False,Pre-CSRD (before 2021),"Non-EU Firms
Pre-CSRD (before 2021)"
Glencore,2017,2018,0.0105,False,Pre-CSRD (before 2021),"Non-EU Firms
Pre-CSRD (before 2021)"
Glencore,2018,2019,0.0084,False,Pre-CSRD (before 2021),"Non-EU Firms
Pre-CSRD (before 2021)"
Glencore,2019,2020,0.0129,False,Pre-CSRD (before 2021),"Non-EU Firms
Pre-CSRD (before 2021)"
Glencore,2020,2021,0.0142,False,Post-CSRD (2021+),"Non-EU Firms
Post-CSRD (2021+)"
Glencore,2021,2022,0.0262,False,Post-CSRD (2021+),"Non-EU Firms
Post-CSRD (2021+)"
Glencore,2022,2023,0.0085,False,Post-CSRD (2021+),"Non-EU Firms
Post-CSRD (2021+)"
Glencore,2023,2024,0.0047,False,Post-CSRD (2021+),"Non-EU Firms
Post-CSRD (2021+)"
Repsol,2017,2018,0.0077,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
Repsol,2018,2019,0.0146,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
Repsol,2019,2020,0.0245,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
Repsol,2020,2021,0.0115,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
Repsol,2021,2022,0.0057,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
Repsol,2022,2023,0.0053,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
