firm_name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BP,0.0101,0.0095,0.0077,0.0074,0.023,0.0155,0.0074,0.0138,0.007,0.0113
Chevron,0.0131,0.0077,0.0084,0.0136,0.0139,0.0218,0.0284,0.0117,0.0084,0.116
ConocoPhillips,0.0458,0.0119,0.0149,0.1284,0.0646,0.0341,0.0341,0.0045,0.0347,0.0044
Equinor,0.0089,0.0122,0.0101,0.0527,0.008,0.0071,0.0109,0.0441,0.0245,0.0145
Glencore,0.012,0.0182,0.0176,0.0105,0.0084,0.0129,0.0142,0.0262,0.0085,0.0047
Repsol,,,,0.0077,0.0146,0.0245,0.0115,0.0057,0.0053,0.0031
RioTinto,0.0144,0.0127,0.0113,0.0252,0.1557,0.0223,0.0443,0.0125,0.1313,0.1623
Shell,0.0197,0.0103,0.0232,0.0266,0.0257,0.0237,0.0453,0.0084,0.0061,
Unilever,0.1828,0.0072,0.0154,0.0079,0.0105,0.0262,0.029,0.0213,0.0,0.0292
