Firm,Period,Rank Spread,scenario,rank
Unilever,2021->2022,24.0,Equal-Weights,34.0
ExxonMobil,2023->2024,19.0,Equal-Weights,9.0
ConocoPhillips,2020->2021,12.0,Equal-Weights,30.0
RioTinto,2017->2018,25.0,Equal-Weights,12.0
Unilever,2019->2020,18.0,Equal-Weights,41.0
Shell,2019->2020,9.0,Equal-Weights,28.0
TotalEnergies,2021->2022,25.0,Equal-Weights,49.0
Repsol,2019->2020,7.0,Equal-Weights,33.0
Unilever,2020->2021,28.0,Equal-Weights,50.0
Glencore,2021->2022,10.0,Equal-Weights,37.0
BP,2019->2020,21.0,Equal-Weights,25.0
Chevron,2019->2020,29.0,Equal-Weights,48.0
Shell,2016->2017,6.0,Equal-Weights,31.0
Repsol,2020->2021,31.0,Equal-Weights,10.0
Glencore,2023->2024,37.0,Equal-Weights,7.0
Shell,2017->2018,31.0,Equal-Weights,60.0
Equinor,2018->2019,36.0,Equal-Weights,11.0
Eni,2018->2019,31.0,Equal-Weights,14.0
BP,2018->2019,13.0,Equal-Weights,47.0
Glencore,2017->2018,30.0,Equal-Weights,13.0
Glencore,2018->2019,33.0,Equal-Weights,18.0
Equinor,2023->2024,28.0,Equal-Weights,23.0
Chevron,2018->2019,27.0,Equal-Weights,22.0
RioTinto,2019->2020,30.0,Equal-Weights,67.0
Equinor,2015->2016,31.0,Equal-Weights,26.0
Glencore,2014->2015,31.0,Equal-Weights,27.0
Eni,2021->2022,22.0,Equal-Weights,32.0
BP,2017->2018,40.0,Equal-Weights,21.0
Eni,2017->2018,58.0,Equal-Weights,94.0
Eni,2019->2020,42.0,Equal-Weights,82.0
Chevron,2014->2015,20.0,Equal-Weights,36.0
TotalEnergies,2016->2017,13.0,Equal-Weights,55.0
Shell,2014->2015,39.0,Equal-Weights,66.0
Shell,2018->2019,62.0,Equal-Weights,97.0
Eni,2022->2023,31.0,Equal-Weights,44.0
BP,2021->2022,27.0,Equal-Weights,39.0
Repsol,2018->2019,59.0,Equal-Weights,86.0
Glencore,2019->2020,20.0,Equal-Weights,40.0
Equinor,2022->2023,64.0,Equal-Weights,102.0
Glencore,2016->2017,23.0,Equal-Weights,73.0
RioTinto,2014->2015,7.0,Equal-Weights,56.0
RioTinto,2021->2022,24.0,Equal-Weights,63.0
RioTinto,2015->2016,16.0,Equal-Weights,54.0
Chevron,2021->2022,22.0,Equal-Weights,53.0
ConocoPhillips,2016->2017,10.0,Equal-Weights,69.0
Chevron,2017->2018,16.0,Equal-Weights,59.0
ExxonMobil,2017->2018,18.0,Equal-Weights,61.0
Eni,2015->2016,32.0,Equal-Weights,70.0
Unilever,2018->2019,15.0,Equal-Weights,57.0
Unilever,2015->2016,35.0,Equal-Weights,42.0
BP,2014->2015,25.0,Equal-Weights,51.0
TotalEnergies,2018->2019,32.0,Equal-Weights,46.0
Eni,2023->2024,52.0,Equal-Weights,100.0
Unilever,2016->2017,19.0,Equal-Weights,78.0
BP,2023->2024,18.0,Equal-Weights,64.0
BP,2016->2017,48.0,Equal-Weights,72.0
Repsol,2022->2023,37.0,Equal-Weights,43.0
TotalEnergies,2019->2020,21.0,Equal-Weights,85.0
TotalEnergies,2022->2023,29.0,Equal-Weights,81.0
ConocoPhillips,2015->2016,11.0,Equal-Weights,75.0
Unilever,2017->2018,21.0,Equal-Weights,62.0
ConocoPhillips,2021->2022,29.0,Equal-Weights,58.0
Chevron,2022->2023,19.0,Equal-Weights,68.0
Shell,2015->2016,18.0,Equal-Weights,80.0
Chevron,2016->2017,12.0,Equal-Weights,74.0
BP,2022->2023,39.0,Equal-Weights,79.0
BP,2015->2016,52.0,Equal-Weights,96.0
Shell,2021->2022,15.0,Equal-Weights,77.0
BP,2020->2021,30.0,Equal-Weights,87.0
TotalEnergies,2023->2024,19.0,Equal-Weights,84.0
Repsol,2017->2018,12.0,Equal-Weights,83.0
Equinor,2020->2021,10.0,Equal-Weights,92.0
Equinor,2014->2015,10.0,Equal-Weights,90.0
Equinor,2019->2020,9.0,Equal-Weights,88.0
RioTinto,2016->2017,10.0,Equal-Weights,93.0
TotalEnergies,2017->2018,10.0,Equal-Weights,89.0
Glencore,2020->2021,20.0,Equal-Weights,98.0
Unilever,2022->2023,29.0,Equal-Weights,76.0
Glencore,2015->2016,31.0,Equal-Weights,106.0
Repsol,2023->2024,11.0,Equal-Weights,91.0
Equinor,2016->2017,8.0,Equal-Weights,99.0
Shell,2022->2023,7.0,Equal-Weights,95.0
Repsol,2021->2022,37.0,Equal-Weights,103.0
Chevron,2015->2016,3.0,Equal-Weights,101.0
Glencore,2022->2023,6.0,Equal-Weights,105.0
ConocoPhillips,2023->2024,2.0,Equal-Weights,104.0
Unilever,2014->2015,2.0,SBERT-Heavy,1.0
ExxonMobil,2022->2023,2.0,SBERT-Heavy,2.0
RioTinto,2023->2024,2.0,SBERT-Heavy,3.0
RioTinto,2018->2019,1.0,SBERT-Heavy,4.0
RioTinto,2022->2023,24.0,SBERT-Heavy,5.0
Chevron,2023->2024,2.0,SBERT-Heavy,7.0
ConocoPhillips,2017->2018,46.0,SBERT-Heavy,6.0
ConocoPhillips,2018->2019,37.0,SBERT-Heavy,8.0
ConocoPhillips,2014->2015,2.0,SBERT-Heavy,10.0
Equinor,2017->2018,29.0,SBERT-Heavy,9.0
Equinor,2021->2022,8.0,SBERT-Heavy,11.0
RioTinto,2020->2021,4.0,SBERT-Heavy,12.0
Shell,2020->2021,22.0,SBERT-Heavy,13.0
ConocoPhillips,2022->2023,6.0,SBERT-Heavy,16.0
TotalEnergies,2020->2021,10.0,SBERT-Heavy,21.0
Unilever,2023->2024,12.0,SBERT-Heavy,19.0
Eni,2016->2017,57.0,SBERT-Heavy,14.0
Eni,2020->2021,50.0,SBERT-Heavy,15.0
Chevron,2020->2021,14.0,SBERT-Heavy,20.0
ConocoPhillips,2019->2020,8.0,SBERT-Heavy,17.0
Unilever,2021->2022,24.0,SBERT-Heavy,25.0
ExxonMobil,2023->2024,19.0,SBERT-Heavy,28.0
ConocoPhillips,2020->2021,12.0,SBERT-Heavy,18.0
RioTinto,2017->2018,25.0,SBERT-Heavy,23.0
Unilever,2019->2020,18.0,SBERT-Heavy,26.0
Shell,2019->2020,9.0,SBERT-Heavy,31.0
TotalEnergies,2021->2022,25.0,SBERT-Heavy,24.0
Repsol,2019->2020,7.0,SBERT-Heavy,30.0
Unilever,2020->2021,28.0,SBERT-Heavy,22.0
Glencore,2021->2022,10.0,SBERT-Heavy,27.0
BP,2019->2020,21.0,SBERT-Heavy,39.0
Chevron,2019->2020,29.0,SBERT-Heavy,33.0
Shell,2016->2017,6.0,SBERT-Heavy,32.0
Repsol,2020->2021,31.0,SBERT-Heavy,41.0
Glencore,2023->2024,37.0,SBERT-Heavy,44.0
Shell,2017->2018,31.0,SBERT-Heavy,29.0
Equinor,2018->2019,36.0,SBERT-Heavy,47.0
Eni,2018->2019,31.0,SBERT-Heavy,45.0
BP,2018->2019,13.0,SBERT-Heavy,34.0
Glencore,2017->2018,30.0,SBERT-Heavy,43.0
Glencore,2018->2019,33.0,SBERT-Heavy,51.0
Equinor,2023->2024,28.0,SBERT-Heavy,46.0
Chevron,2018->2019,27.0,SBERT-Heavy,49.0
RioTinto,2019->2020,30.0,SBERT-Heavy,37.0
Equinor,2015->2016,31.0,SBERT-Heavy,52.0
Glencore,2014->2015,31.0,SBERT-Heavy,53.0
Eni,2021->2022,22.0,SBERT-Heavy,54.0
BP,2017->2018,40.0,SBERT-Heavy,61.0
Eni,2017->2018,58.0,SBERT-Heavy,36.0
Eni,2019->2020,42.0,SBERT-Heavy,40.0
Chevron,2014->2015,20.0,SBERT-Heavy,55.0
TotalEnergies,2016->2017,13.0,SBERT-Heavy,48.0
Shell,2014->2015,39.0,SBERT-Heavy,42.0
Shell,2018->2019,62.0,SBERT-Heavy,35.0
Eni,2022->2023,31.0,SBERT-Heavy,57.0
BP,2021->2022,27.0,SBERT-Heavy,56.0
Repsol,2018->2019,59.0,SBERT-Heavy,59.0
Glencore,2019->2020,20.0,SBERT-Heavy,60.0
Equinor,2022->2023,64.0,SBERT-Heavy,38.0
Glencore,2016->2017,23.0,SBERT-Heavy,50.0
RioTinto,2014->2015,7.0,SBERT-Heavy,58.0
RioTinto,2021->2022,24.0,SBERT-Heavy,69.0
RioTinto,2015->2016,16.0,SBERT-Heavy,67.0
Chevron,2021->2022,22.0,SBERT-Heavy,71.0
ConocoPhillips,2016->2017,10.0,SBERT-Heavy,62.0
Chevron,2017->2018,16.0,SBERT-Heavy,66.0
ExxonMobil,2017->2018,18.0,SBERT-Heavy,70.0
Eni,2015->2016,32.0,SBERT-Heavy,68.0
Unilever,2018->2019,15.0,SBERT-Heavy,72.0
Unilever,2015->2016,35.0,SBERT-Heavy,77.0
BP,2014->2015,25.0,SBERT-Heavy,73.0
TotalEnergies,2018->2019,32.0,SBERT-Heavy,78.0
Eni,2023->2024,52.0,SBERT-Heavy,63.0
Unilever,2016->2017,19.0,SBERT-Heavy,64.0
BP,2023->2024,18.0,SBERT-Heavy,74.0
BP,2016->2017,48.0,SBERT-Heavy,82.0
Repsol,2022->2023,37.0,SBERT-Heavy,80.0
TotalEnergies,2019->2020,21.0,SBERT-Heavy,65.0
TotalEnergies,2022->2023,29.0,SBERT-Heavy,79.0
