Firm,Period,Rank Spread,scenario,rank
RioTinto,2021->2022,24.0,Jaccard-Heavy,66.0
RioTinto,2015->2016,16.0,Jaccard-Heavy,54.0
Chevron,2021->2022,22.0,Jaccard-Heavy,55.0
ConocoPhillips,2016->2017,10.0,Jaccard-Heavy,61.0
Chevron,2017->2018,16.0,Jaccard-Heavy,75.0
ExxonMobil,2017->2018,18.0,Jaccard-Heavy,69.0
Eni,2015->2016,32.0,Jaccard-Heavy,52.0
Unilever,2018->2019,15.0,Jaccard-Heavy,67.0
Unilever,2015->2016,35.0,Jaccard-Heavy,64.0
BP,2014->2015,25.0,Jaccard-Heavy,76.0
TotalEnergies,2018->2019,32.0,Jaccard-Heavy,71.0
Eni,2023->2024,52.0,Jaccard-Heavy,51.0
Unilever,2016->2017,19.0,Jaccard-Heavy,73.0
BP,2023->2024,18.0,Jaccard-Heavy,80.0
BP,2016->2017,48.0,Jaccard-Heavy,86.0
Repsol,2022->2023,37.0,Jaccard-Heavy,78.0
TotalEnergies,2019->2020,21.0,Jaccard-Heavy,82.0
TotalEnergies,2022->2023,29.0,Jaccard-Heavy,65.0
ConocoPhillips,2015->2016,11.0,Jaccard-Heavy,74.0
Unilever,2017->2018,21.0,Jaccard-Heavy,81.0
ConocoPhillips,2021->2022,29.0,Jaccard-Heavy,85.0
Chevron,2022->2023,19.0,Jaccard-Heavy,83.0
Shell,2015->2016,18.0,Jaccard-Heavy,72.0
Chevron,2016->2017,12.0,Jaccard-Heavy,84.0
BP,2022->2023,39.0,Jaccard-Heavy,93.0
BP,2015->2016,52.0,Jaccard-Heavy,95.0
Shell,2021->2022,15.0,Jaccard-Heavy,92.0
BP,2020->2021,30.0,Jaccard-Heavy,88.0
TotalEnergies,2023->2024,19.0,Jaccard-Heavy,77.0
Repsol,2017->2018,12.0,Jaccard-Heavy,91.0
Equinor,2020->2021,10.0,Jaccard-Heavy,90.0
Equinor,2014->2015,10.0,Jaccard-Heavy,87.0
Equinor,2019->2020,9.0,Jaccard-Heavy,89.0
RioTinto,2016->2017,10.0,Jaccard-Heavy,94.0
TotalEnergies,2017->2018,10.0,Jaccard-Heavy,96.0
Glencore,2020->2021,20.0,Jaccard-Heavy,98.0
Unilever,2022->2023,29.0,Jaccard-Heavy,105.0
Glencore,2015->2016,31.0,Jaccard-Heavy,101.0
Repsol,2023->2024,11.0,Jaccard-Heavy,99.0
Equinor,2016->2017,8.0,Jaccard-Heavy,97.0
Shell,2022->2023,7.0,Jaccard-Heavy,100.0
Repsol,2021->2022,37.0,Jaccard-Heavy,103.0
Chevron,2015->2016,3.0,Jaccard-Heavy,102.0
Glencore,2022->2023,6.0,Jaccard-Heavy,104.0
ConocoPhillips,2023->2024,2.0,Jaccard-Heavy,106.0
