firm_name,year_from,year_to,sbert_drift,jaccard_overlap,lda_jsd,vader_delta,veris_score,veris_band,veris_rank,veris_q25,veris_q50,veris_q75,total_co2e_tonnes,emissions_delta_pct,greenwashing_quadrant,gunning_fog_index,type_token_ratio,controversy_density,social_index,n_social_paragraphs,circularity_density,word_count,obfuscation_flag,sector,eu_flag,year_label,csrd_period,quadrant_short,obfuscation_label,co2e_mt
TotalEnergies,2017,2018,0.0062,0.688,0.056,-0.0397,0.1208,Low,96,0.141,0.1624,0.2036,812009341.4081781,0.0069,4 - Stagnant,16.0028,0.1504,1.3366,0.7963,75,1.0396,20201,0,Oil & Gas,True,2017-2018,Pre-CSRD,4,Normal readability,812.0093414081781
TotalEnergies,2018,2019,0.0077,0.6669,0.056,0.0315,0.1475,Medium,72,0.141,0.1624,0.2036,828124368.4201497,0.0198,4 - Stagnant,16.5161,0.1469,1.3872,0.798,60,1.074,22347,0,Oil & Gas,True,2018-2019,Pre-CSRD,4,Normal readability,828.1243684201497
TotalEnergies,2019,2020,0.0161,0.6707,0.0575,-0.0387,0.1434,Medium,78,0.141,0.1624,0.2036,772364879.6501313,-0.0673,3 - Greenhushing,17.547,0.1455,1.5774,0.7213,41,0.7887,21555,0,Oil & Gas,True,2019-2020,Pre-CSRD,3,Normal readability,772.3648796501313
TotalEnergies,2020,2021,0.0271,0.5412,0.4359,0.0456,0.2524,Very High,15,0.141,0.1624,0.2036,846651077.0476938,0.0962,Insufficient data -- CT coverage discontinuity,18.5715,0.1518,1.5155,0.6793,177,0.7578,23754,0,Oil & Gas,True,2020-2021,Post-CSRD,Insufficient data,Normal readability,846.6510770476939
TotalEnergies,2021,2022,0.0276,0.583,0.1808,-0.0021,0.2036,Very High,27,0.141,0.1624,0.2036,868286250.4260249,0.0256,2 - Greenwashing signal,17.8359,0.1453,1.5202,0.6662,116,0.8801,24997,0,Oil & Gas,True,2021-2022,Post-CSRD,2,Normal readability,868.2862504260249
TotalEnergies,2022,2023,0.0103,0.5989,0.1436,-0.0371,0.1422,Medium,79,0.141,0.1624,0.2036,873168972.3399446,0.0056,4 - Stagnant,17.2252,0.1543,1.2691,0.7036,72,0.7535,25215,0,Oil & Gas,True,2022-2023,Post-CSRD,4,Normal readability,873.1689723399446
TotalEnergies,2023,2024,0.0066,0.618,0.0269,-0.0273,0.1282,Low,90,0.141,0.1624,0.2036,850365703.6316502,-0.0261,3 - Greenhushing,17.9145,0.1395,1.048,0.7595,112,0.4434,24810,0,Oil & Gas,True,2023-2024,Post-CSRD,3,Normal readability,850.3657036316503
Unilever,2014,2015,0.1828,0.5668,0.8762,0.0923,0.9282,Very High,1,0.141,0.1624,0.2036,,,Insufficient data,15.8096,0.1354,0.7031,0.8034,140,0.2895,24177,0,Consumer,True,2014-2015,Pre-CSRD,Insufficient data,Normal readability,
Unilever,2015,2016,0.0072,0.6492,0.0339,0.0388,0.1489,Medium,70,0.141,0.1624,0.2036,,,Insufficient data,16.2993,0.1453,1.1119,0.7869,122,0.4276,23384,0,Consumer,True,2015-2016,Pre-CSRD,Insufficient data,Normal readability,
Unilever,2016,2017,0.0154,0.6577,0.0398,-0.0216,0.1462,Medium,74,0.141,0.1624,0.2036,,,Insufficient data,16.7624,0.143,2.0211,0.7119,134,0.258,23255,0,Consumer,True,2016-2017,Pre-CSRD,Insufficient data,Normal readability,
Unilever,2017,2018,0.0079,0.687,0.0497,0.0092,0.1393,Low,81,0.141,0.1624,0.2036,,,Insufficient data,16.5458,0.1486,1.3274,0.6888,128,0.5566,23354,0,Consumer,True,2017-2018,Pre-CSRD,Insufficient data,Normal readability,
Unilever,2018,2019,0.0105,0.6453,0.0757,0.0148,0.1492,Medium,69,0.141,0.1624,0.2036,,,Insufficient data,14.7932,0.1353,0.9304,0.8103,152,0.7281,24721,0,Consumer,True,2018-2019,Pre-CSRD,Insufficient data,Normal readability,
Unilever,2019,2020,0.0262,0.6352,0.2547,0.0021,0.2075,Very High,25,0.141,0.1624,0.2036,,,Insufficient data,16.7664,0.1358,0.9793,0.777,226,0.5713,24507,0,Consumer,True,2019-2020,Pre-CSRD,Insufficient data,Normal readability,
Unilever,2020,2021,0.029,0.6365,0.1452,0.001,0.203,High,29,0.141,0.1624,0.2036,,,Insufficient data,15.4393,0.1369,1.1793,0.7302,199,1.342,24590,0,Consumer,True,2020-2021,Post-CSRD,Insufficient data,Normal readability,
Unilever,2021,2022,0.0213,0.6079,0.5072,-0.0138,0.2377,Very High,21,0.141,0.1624,0.2036,,,Insufficient data,16.6662,0.1261,0.8818,0.8888,134,0.4619,23814,0,Consumer,True,2021-2022,Post-CSRD,Insufficient data,Normal readability,
Unilever,2022,2023,0.0,1.0,0.0,0.0,0.1176,Low,98,0.141,0.1624,0.2036,,,Insufficient data,16.6662,0.1261,0.8818,0.8888,134,0.4619,23814,0,Consumer,True,2022-2023,Post-CSRD,Insufficient data,Normal readability,
Unilever,2023,2024,0.0292,0.5937,0.4375,0.0135,0.2511,Very High,16,0.141,0.1624,0.2036,,,Insufficient data,16.0966,0.1302,0.7065,0.8964,81,0.1662,24063,0,Consumer,True,2023-2024,Post-CSRD,Insufficient data,Normal readability,
