firm_name,year_from,year_to,sbert_drift,jaccard_overlap,lda_jsd,vader_delta,veris_score,veris_band,veris_rank,veris_q25,veris_q50,veris_q75,total_co2e_tonnes,emissions_delta_pct,greenwashing_quadrant,gunning_fog_index,type_token_ratio,controversy_density,social_index,n_social_paragraphs,circularity_density,word_count,obfuscation_flag,sector,eu_flag,year_label,csrd_period,quadrant_short,obfuscation_label,co2e_mt
Chevron,2023,2024,0.116,0.5327,0.9749,-0.0012,0.6685,Very High,6,0.141,0.1624,0.2036,265913940.2074126,0.0009,2 - Greenwashing signal,18.2897,0.1286,2.4435,0.5889,34,0.4887,22509,0,Oil & Gas,False,2023-2024,Post-CSRD,2,Normal readability,265.9139402074126
ConocoPhillips,2014,2015,0.0458,0.5786,0.5566,0.0325,0.3305,Very High,9,0.141,0.1624,0.2036,134970020.05722195,,Insufficient data,17.6582,0.177,1.6357,0.7398,289,0.9913,20175,0,Oil & Gas,False,2014-2015,Pre-CSRD,Insufficient data,Normal readability,134.97002005722194
ConocoPhillips,2015,2016,0.0119,0.6489,0.033,-0.0134,0.1406,Low,80,0.141,0.1624,0.2036,135752499.02062064,0.0058,4 - Stagnant,18.0338,0.1802,2.1485,0.7821,283,1.0523,22807,0,Oil & Gas,False,2015-2016,Pre-CSRD,4,Normal readability,135.75249902062063
ConocoPhillips,2016,2017,0.0149,0.6245,0.0853,-0.0143,0.1517,Medium,65,0.141,0.1624,0.2036,143559210.2546273,0.0575,4 - Stagnant,17.8972,0.1836,1.257,0.6993,305,0.9311,21479,0,Oil & Gas,False,2016-2017,Pre-CSRD,4,Normal readability,143.5592102546273
ConocoPhillips,2017,2018,0.1284,0.3508,0.6801,-0.2165,0.6644,Very High,7,0.141,0.1624,0.2036,147341736.64967218,0.0263,2 - Greenwashing signal,17.1298,0.1363,3.3351,0.6369,404,0.0388,25786,0,Oil & Gas,False,2017-2018,Pre-CSRD,2,Normal readability,147.34173664967219
ConocoPhillips,2018,2019,0.0646,0.3973,0.0741,-0.0262,0.3427,Very High,8,0.141,0.1624,0.2036,148042111.44890064,0.0048,2 - Greenwashing signal,18.9818,0.1863,2.7216,0.7425,457,0.0938,21311,0,Oil & Gas,False,2018-2019,Pre-CSRD,2,Normal readability,148.04211144890064
ConocoPhillips,2019,2020,0.0341,0.5123,0.242,0.041,0.2451,Very High,20,0.141,0.1624,0.2036,131589965.53965276,-0.1111,1 - Genuine improvement,19.7871,0.1439,2.7505,0.6759,358,0.1399,21451,0,Oil & Gas,False,2019-2020,Pre-CSRD,1,Normal readability,131.58996553965275
ConocoPhillips,2020,2021,0.0341,0.6022,0.2107,0.0265,0.2348,Very High,23,0.141,0.1624,0.2036,625305.0935614139,-0.9952,Insufficient data -- CT coverage discontinuity,21.0495,0.1299,3.5883,0.5886,237,0.0454,22016,1,Oil & Gas,False,2020-2021,Post-CSRD,Insufficient data,Obfuscation flag,0.625305093561414
ConocoPhillips,2021,2022,0.0045,0.7112,0.0167,0.0255,0.1377,Low,82,0.141,0.1624,0.2036,649585.7835338379,0.0388,4 - Stagnant,20.7638,0.1331,2.9589,0.5867,224,0.0925,21630,0,Oil & Gas,False,2021-2022,Post-CSRD,4,Normal readability,0.6495857835338379
ConocoPhillips,2022,2023,0.0347,0.6328,0.4213,0.0214,0.2659,Very High,14,0.141,0.1624,0.2036,696218.801018131,0.0718,2 - Greenwashing signal,19.7336,0.1309,4.4954,0.6318,135,0.6294,22245,0,Oil & Gas,False,2022-2023,Post-CSRD,2,Normal readability,0.6962188010181309
ConocoPhillips,2023,2024,0.0044,0.7686,0.0022,-0.1348,0.0786,Low,106,0.141,0.1624,0.2036,693372.8893066592,-0.0041,3 - Greenhushing,19.7418,0.1313,4.4579,0.5934,126,0.3121,22432,0,Oil & Gas,False,2023-2024,Post-CSRD,3,Normal readability,0.6933728893066592
Eni,2015,2016,0.0139,0.5833,0.0042,-0.0079,0.1495,Medium,68,0.141,0.1624,0.2036,477650307.4754151,0.0439,4 - Stagnant,20.6225,0.1777,1.8528,0.5702,273,0.0529,18890,0,Oil & Gas,True,2015-2016,Pre-CSRD,4,Normal readability,477.6503074754151
Eni,2016,2017,0.0424,0.5598,0.1789,-0.0482,0.2508,Very High,17,0.141,0.1624,0.2036,479278050.5986548,0.0034,2 - Greenwashing signal,20.2488,0.1733,2.0537,0.7132,387,0.3933,22885,0,Oil & Gas,True,2016-2017,Pre-CSRD,2,Normal readability,479.27805059865483
Eni,2017,2018,0.0239,0.5602,0.1244,-0.0853,0.168,High,48,0.141,0.1624,0.2036,476672277.2120777,-0.0054,1 - Genuine improvement,23.2373,0.2117,2.2045,0.6794,457,0.4499,22227,0,Oil & Gas,True,2017-2018,Pre-CSRD,1,Normal readability,476.6722772120777
Eni,2018,2019,0.0099,0.5743,0.0675,0.1373,0.1886,High,38,0.141,0.1624,0.2036,485094132.3663316,0.0177,2 - Greenwashing signal,21.7325,0.2158,2.8437,0.7052,416,1.1997,22506,0,Oil & Gas,True,2018-2019,Pre-CSRD,2,Normal readability,485.09413236633156
Eni,2019,2020,0.0218,0.5792,0.0969,-0.0425,0.1671,High,50,0.141,0.1624,0.2036,452371428.277689,-0.0675,1 - Genuine improvement,23.3715,0.1722,2.7838,0.613,533,0.9279,22631,0,Oil & Gas,True,2019-2020,Pre-CSRD,1,Normal readability,452.371428277689
Eni,2020,2021,0.0387,0.5688,0.2675,-0.0451,0.2471,Very High,18,0.141,0.1624,0.2036,90112637.96352842,-0.8008,Insufficient data -- CT coverage discontinuity,23.3307,0.1327,2.2445,0.6975,379,1.4523,22722,0,Oil & Gas,True,2020-2021,Post-CSRD,Insufficient data,Normal readability,90.11263796352843
Eni,2021,2022,0.0124,0.6239,0.0674,0.0627,0.1682,High,47,0.141,0.1624,0.2036,90725532.43379092,0.0068,2 - Greenwashing signal,24.3545,0.1551,1.3897,0.7257,334,1.52,23027,0,Oil & Gas,True,2021-2022,Post-CSRD,2,Normal readability,90.72553243379092
Eni,2022,2023,0.0133,0.5513,0.0126,0.0331,0.1623,Medium,55,0.141,0.1624,0.2036,87887806.04016078,-0.0313,3 - Greenhushing,23.3387,0.1704,1.9275,0.7404,272,0.7792,24384,0,Oil & Gas,True,2022-2023,Post-CSRD,3,Normal readability,87.88780604016077
Eni,2023,2024,0.0169,0.5342,0.1779,-0.1206,0.1469,Medium,73,0.141,0.1624,0.2036,81184242.85815097,-0.0763,3 - Greenhushing,22.5111,0.1444,4.1471,0.463,272,0.8551,23390,0,Oil & Gas,True,2023-2024,Post-CSRD,3,Normal readability,81.18424285815098
Equinor,2014,2015,0.0089,0.6417,0.0036,-0.0415,0.1253,Low,93,0.141,0.1624,0.2036,151319869.10073373,,Insufficient data,17.6693,0.1353,2.8335,0.6375,343,0.2214,22587,0,Oil & Gas,True,2014-2015,Pre-CSRD,Insufficient data,Normal readability,151.31986910073374
Equinor,2015,2016,0.0122,0.6779,0.0005,0.0856,0.1699,High,45,0.141,0.1624,0.2036,150378846.82047808,-0.0062,1 - Genuine improvement,17.5062,0.1349,2.7637,0.6824,323,0.0837,23881,0,Oil & Gas,True,2015-2016,Pre-CSRD,1,Normal readability,150.3788468204781
Equinor,2016,2017,0.0101,0.6489,0.0036,-0.0923,0.1116,Low,101,0.141,0.1624,0.2036,150992661.94546178,0.0041,4 - Stagnant,19.5185,0.1276,2.4797,0.6893,357,0.0428,23390,0,Oil & Gas,True,2016-2017,Pre-CSRD,4,Normal readability,150.99266194546178
Equinor,2017,2018,0.0527,0.6277,0.3805,-0.0369,0.3185,Very High,10,0.141,0.1624,0.2036,148665384.64218184,-0.0154,1 - Genuine improvement,18.9041,0.1432,2.5791,0.6049,334,0.0973,20550,0,Oil & Gas,True,2017-2018,Pre-CSRD,1,Normal readability,148.66538464218183
Equinor,2018,2019,0.008,0.6811,0.043,0.1645,0.189,High,37,0.141,0.1624,0.2036,147695615.7832135,-0.0065,1 - Genuine improvement,19.0345,0.1359,1.9791,0.6958,359,0.043,23243,0,Oil & Gas,True,2018-2019,Pre-CSRD,1,Normal readability,147.6956157832135
Equinor,2019,2020,0.0071,0.6494,0.046,-0.0377,0.1246,Low,94,0.141,0.1624,0.2036,142193739.91005751,-0.0373,3 - Greenhushing,18.6344,0.1277,1.9438,0.5631,331,0.0414,24179,0,Oil & Gas,True,2019-2020,Pre-CSRD,3,Normal readability,142.1937399100575
Equinor,2020,2021,0.0109,0.6544,0.0116,-0.0515,0.1256,Low,92,0.141,0.1624,0.2036,10295577.564074775,-0.9276,Insufficient data -- CT coverage discontinuity,18.5322,0.133,2.0907,0.5939,322,0.2091,23916,0,Oil & Gas,True,2020-2021,Post-CSRD,Insufficient data,Normal readability,10.295577564074776
Equinor,2021,2022,0.0441,0.5846,0.4801,0.0184,0.3095,Very High,11,0.141,0.1624,0.2036,9805054.310699722,-0.0476,1 - Genuine improvement,19.7082,0.1334,1.4454,0.6775,265,0.0,22831,0,Oil & Gas,True,2021-2022,Post-CSRD,1,Normal readability,9.805054310699722
Equinor,2022,2023,0.0245,0.6564,0.1549,-0.1288,0.1598,Medium,59,0.141,0.1624,0.2036,8307328.396109106,-0.1528,3 - Greenhushing,19.2589,0.1309,1.8512,0.5742,176,0.0,23228,0,Oil & Gas,True,2022-2023,Post-CSRD,3,Normal readability,8.307328396109106
Equinor,2023,2024,0.0145,0.6412,0.0097,0.0899,0.1774,High,42,0.141,0.1624,0.2036,7913949.095066108,-0.0474,1 - Genuine improvement,18.6151,0.1248,1.404,0.6014,173,0.0,23505,0,Oil & Gas,True,2023-2024,Post-CSRD,1,Normal readability,7.9139490950661076
ExxonMobil,2017,2018,0.013,0.648,0.0287,0.0098,0.15,Medium,67,0.141,0.1624,0.2036,536757432.1370572,0.0116,4 - Stagnant,17.2181,0.1604,2.6608,0.6257,402,1.2772,18791,0,Oil & Gas,False,2017-2018,Pre-CSRD,4,Normal readability,536.7574321370572
ExxonMobil,2022,2023,0.1696,0.5437,0.9839,0.0211,0.8944,Very High,2,0.141,0.1624,0.2036,108535077.36704664,0.0033,2 - Greenwashing signal,21.2041,0.1277,0.9954,0.6533,49,1.4479,22101,1,Oil & Gas,False,2022-2023,Post-CSRD,2,Obfuscation flag,108.53507736704664
ExxonMobil,2023,2024,0.0179,0.5858,0.4291,0.0884,0.2352,Very High,22,0.141,0.1624,0.2036,109829429.34430069,0.0119,2 - Greenwashing signal,18.2897,0.1286,2.4435,0.5889,34,0.4887,22509,0,Oil & Gas,False,2023-2024,Post-CSRD,2,Normal readability,109.82942934430069
Glencore,2014,2015,0.012,0.6501,0.0115,0.0781,0.1686,High,46,0.141,0.1624,0.2036,114715656.48303984,,Insufficient data,20.6879,0.1303,4.5843,0.5646,458,0.5786,22468,1,Mining,False,2014-2015,Pre-CSRD,Insufficient data,Obfuscation flag,114.71565648303984
Glencore,2015,2016,0.0182,0.6447,0.1415,-0.2868,0.1175,Low,99,0.141,0.1624,0.2036,115300014.97741546,0.0051,4 - Stagnant,20.1898,0.1303,3.3143,0.5975,439,0.6629,22629,1,Mining,False,2015-2016,Pre-CSRD,4,Obfuscation flag,115.30001497741546
Glencore,2016,2017,0.0176,0.6329,0.1223,-0.0225,0.1593,Medium,60,0.141,0.1624,0.2036,119471670.21603492,0.0362,4 - Stagnant,19.9903,0.1285,2.0825,0.4054,386,0.7089,22569,1,Mining,False,2016-2017,Pre-CSRD,4,Obfuscation flag,119.47167021603492
Glencore,2017,2018,0.0105,0.654,0.0372,0.1454,0.1875,High,40,0.141,0.1624,0.2036,123694308.16771182,0.0353,2 - Greenwashing signal,20.3281,0.1333,2.6543,0.5033,377,0.4424,22605,0,Mining,False,2017-2018,Pre-CSRD,2,Normal readability,123.69430816771182
Glencore,2018,2019,0.0084,0.6488,0.1533,0.1074,0.1807,High,41,0.141,0.1624,0.2036,124566179.58789338,0.007,2 - Greenwashing signal,20.5965,0.1242,2.0851,0.5418,393,0.2662,22541,1,Mining,False,2018-2019,Pre-CSRD,2,Obfuscation flag,124.56617958789339
Glencore,2019,2020,0.0129,0.6709,0.0902,0.0344,0.1599,Medium,58,0.141,0.1624,0.2036,120472965.64410657,-0.0329,3 - Greenhushing,21.4772,0.1322,1.4399,0.5027,432,0.6749,22224,0,Mining,False,2019-2020,Pre-CSRD,3,Normal readability,120.47296564410657
Glencore,2020,2021,0.0142,0.6723,0.0044,-0.0927,0.1203,Low,97,0.141,0.1624,0.2036,131650113.7200912,0.0928,Insufficient data -- CT coverage discontinuity,21.214,0.1303,1.5174,0.5337,356,3.0348,22407,1,Mining,False,2020-2021,Post-CSRD,Insufficient data,Obfuscation flag,131.65011372009118
Glencore,2021,2022,0.0262,0.6373,0.1982,0.0145,0.2027,High,30,0.141,0.1624,0.2036,129604318.39011994,-0.0155,1 - Genuine improvement,21.0266,0.1335,2.3408,0.5463,469,0.1801,22215,0,Mining,False,2021-2022,Post-CSRD,1,Normal readability,129.60431839011994
Glencore,2022,2023,0.0085,0.663,0.1234,-0.1968,0.0908,Low,105,0.141,0.1624,0.2036,133699331.6277769,0.0316,4 - Stagnant,21.2662,0.1317,1.9428,0.4669,411,0.2711,22133,0,Mining,False,2022-2023,Post-CSRD,4,Normal readability,133.6993316277769
Glencore,2023,2024,0.0047,0.7368,0.0124,0.199,0.1929,High,35,0.141,0.1624,0.2036,136631133.4356526,0.0219,2 - Greenwashing signal,21.4366,0.1278,2.1841,0.5143,419,0.182,21977,1,Mining,False,2023-2024,Post-CSRD,2,Obfuscation flag,136.6311334356526
Repsol,2017,2018,0.0077,0.6727,0.0313,-0.0267,0.127,Low,91,0.141,0.1624,0.2036,193980234.8027149,0.0043,4 - Stagnant,16.8511,0.1328,1.8343,0.5808,164,0.1529,26168,0,Oil & Gas,True,2017-2018,Pre-CSRD,4,Normal readability,193.9802348027149
Repsol,2018,2019,0.0146,0.6387,0.2495,-0.057,0.1602,Medium,57,0.141,0.1624,0.2036,193235450.6104804,-0.0038,3 - Greenhushing,16.0929,0.1406,2.3395,0.5216,85,0.3509,25647,0,Oil & Gas,True,2018-2019,Pre-CSRD,3,Normal readability,193.2354506104804
Repsol,2019,2020,0.0245,0.636,0.2306,0.0224,0.2035,High,28,0.141,0.1624,0.2036,187897919.7124456,-0.0276,1 - Genuine improvement,16.5434,0.1332,1.5147,0.541,109,0.3986,25088,0,Oil & Gas,True,2019-2020,Pre-CSRD,1,Normal readability,187.8979197124456
Repsol,2020,2021,0.0115,0.6656,0.1122,0.1501,0.1945,High,34,0.141,0.1624,0.2036,97520249.25932091,-0.481,Insufficient data -- CT coverage discontinuity,17.9557,0.1393,1.8071,0.5939,85,0.8625,24349,0,Oil & Gas,True,2020-2021,Post-CSRD,Insufficient data,Normal readability,97.52024925932092
Repsol,2021,2022,0.0057,0.7016,0.1693,-0.1275,0.1065,Low,103,0.141,0.1624,0.2036,106922732.42128044,0.0964,4 - Stagnant,18.1052,0.1371,1.3137,0.6072,90,0.7389,24359,0,Oil & Gas,True,2021-2022,Post-CSRD,4,Normal readability,106.92273242128044
Repsol,2022,2023,0.0053,0.7129,0.0009,0.0445,0.1445,Medium,77,0.141,0.1624,0.2036,113748077.9542257,0.0638,4 - Stagnant,18.0301,0.1371,2.5507,0.5693,78,0.576,24307,0,Oil & Gas,True,2022-2023,Post-CSRD,4,Normal readability,113.7480779542257
Repsol,2023,2024,0.0031,0.7103,0.0,-0.0431,0.1125,Low,100,0.141,0.1624,0.2036,112209181.89657898,-0.0135,3 - Greenhushing,17.6638,0.1419,1.8358,0.6391,84,0.3264,24512,0,Oil & Gas,True,2023-2024,Post-CSRD,3,Normal readability,112.20918189657898
RioTinto,2014,2015,0.0144,0.6553,0.0715,0.0145,0.1565,Medium,61,0.141,0.1624,0.2036,6578585.798935029,,Insufficient data,17.5073,0.1364,2.8325,0.525,459,0.7296,23301,0,Mining,True,2014-2015,Pre-CSRD,Insufficient data,Normal readability,6.578585798935029
RioTinto,2015,2016,0.0127,0.6303,0.0595,0.0171,0.154,Medium,63,0.141,0.1624,0.2036,6795712.257736926,0.033,4 - Stagnant,17.6591,0.1383,3.4575,0.5221,416,0.4695,23427,0,Mining,True,2015-2016,Pre-CSRD,4,Normal readability,6.795712257736926
RioTinto,2016,2017,0.0113,0.6771,0.0053,-0.0563,0.1235,Low,95,0.141,0.1624,0.2036,6818726.678729633,0.0034,4 - Stagnant,17.9004,0.1362,3.7004,0.5132,535,0.5163,23241,0,Mining,True,2016-2017,Pre-CSRD,4,Normal readability,6.818726678729633
RioTinto,2017,2018,0.0252,0.634,0.0624,0.1227,0.2155,Very High,24,0.141,0.1624,0.2036,7032493.501015635,0.0313,2 - Greenwashing signal,19.073,0.1129,3.2739,0.7014,463,0.5527,23519,0,Mining,True,2017-2018,Pre-CSRD,2,Normal readability,7.032493501015635
RioTinto,2018,2019,0.1557,0.5757,0.8988,0.0523,0.8434,Very High,4,0.141,0.1624,0.2036,7141446.554638343,0.0155,2 - Greenwashing signal,17.1901,0.1124,0.4996,0.7237,191,0.1249,24021,0,Mining,True,2018-2019,Pre-CSRD,2,Normal readability,7.1414465546383425
RioTinto,2019,2020,0.0223,0.6815,0.1073,-0.0136,0.1718,High,44,0.141,0.1624,0.2036,6940737.23393058,-0.0281,1 - Genuine improvement,17.2003,0.1292,1.1668,0.7147,217,0.0417,23998,0,Mining,True,2019-2020,Pre-CSRD,1,Normal readability,6.94073723393058
RioTinto,2020,2021,0.0443,0.6157,0.3671,0.0437,0.2958,Very High,12,0.141,0.1624,0.2036,8248293.514090478,0.1884,Insufficient data -- CT coverage discontinuity,17.5756,0.1025,0.6771,0.7438,299,0.4232,23629,0,Mining,True,2020-2021,Post-CSRD,Insufficient data,Normal readability,8.248293514090479
RioTinto,2021,2022,0.0125,0.6498,0.1524,-0.005,0.1542,Medium,62,0.141,0.1624,0.2036,8409690.175781334,0.0196,4 - Stagnant,16.76,0.0991,0.588,0.7626,248,0.2744,25512,0,Mining,True,2021-2022,Post-CSRD,4,Normal readability,8.409690175781334
RioTinto,2022,2023,0.1313,0.5019,0.9972,-0.2185,0.7018,Very High,5,0.141,0.1624,0.2036,8508117.70002437,0.0117,2 - Greenwashing signal,19.9598,0.1488,3.2034,0.5616,396,0.746,22788,0,Mining,True,2022-2023,Post-CSRD,2,Normal readability,8.50811770002437
RioTinto,2023,2024,0.1623,0.5118,0.9397,0.1753,0.8935,Very High,3,0.141,0.1624,0.2036,8363281.213811541,-0.017,1 - Genuine improvement,16.5029,0.1301,1.4179,0.6892,198,0.2502,23979,0,Mining,True,2023-2024,Post-CSRD,1,Normal readability,8.363281213811542
Shell,2014,2015,0.0197,0.6539,0.0001,-0.0016,0.1625,High,53,0.141,0.1624,0.2036,490601247.2581393,,Insufficient data,17.4106,0.1315,2.1543,0.7352,219,0.3379,23674,0,Oil & Gas,True,2014-2015,Pre-CSRD,Insufficient data,Normal readability,490.6012472581393
Shell,2015,2016,0.0103,0.627,0.0,-0.0196,0.1357,Low,84,0.141,0.1624,0.2036,490033798.38052607,-0.0012,3 - Greenhushing,18.1872,0.1587,1.9578,0.8098,176,0.4351,22985,0,Oil & Gas,True,2015-2016,Pre-CSRD,3,Normal readability,490.0337983805261
Shell,2016,2017,0.0232,0.6119,0.147,0.0423,0.1958,High,33,0.141,0.1624,0.2036,496583350.8426354,0.0134,2 - Greenwashing signal,18.3008,0.1704,2.336,0.7624,220,0.4408,22688,0,Oil & Gas,True,2016-2017,Pre-CSRD,2,Normal readability,496.5833508426354
Shell,2017,2018,0.0266,0.6037,0.1162,-0.0043,0.1923,High,36,0.141,0.1624,0.2036,505294279.3523369,0.0175,2 - Greenwashing signal,18.3122,0.1755,1.5662,0.7538,310,1.0292,22347,0,Oil & Gas,True,2017-2018,Pre-CSRD,2,Normal readability,505.2942793523369
Shell,2018,2019,0.0257,0.6301,0.029,-0.0908,0.1624,Medium,54,0.141,0.1624,0.2036,506415780.3043512,0.0022,4 - Stagnant,16.061,0.152,1.284,0.6484,314,0.9844,23365,0,Oil & Gas,True,2018-2019,Pre-CSRD,4,Normal readability,506.4157803043512
Shell,2019,2020,0.0237,0.6261,0.2463,0.0358,0.2069,Very High,26,0.141,0.1624,0.2036,482558525.6088171,-0.0471,1 - Genuine improvement,16.4579,0.1416,3.5838,0.7384,248,0.4266,23439,0,Oil & Gas,True,2019-2020,Pre-CSRD,1,Normal readability,482.5585256088171
Shell,2020,2021,0.0453,0.5983,0.209,-0.0025,0.2719,Very High,13,0.141,0.1624,0.2036,346780115.9018814,-0.2814,Insufficient data -- CT coverage discontinuity,18.6621,0.1252,1.8589,0.6716,295,1.8157,23132,0,Oil & Gas,True,2020-2021,Post-CSRD,Insufficient data,Normal readability,346.7801159018814
Shell,2021,2022,0.0084,0.6994,0.0408,-0.0134,0.1316,Low,88,0.141,0.1624,0.2036,355328144.3193273,0.0246,4 - Stagnant,18.4096,0.1296,2.1067,0.4868,224,2.0207,23259,0,Oil & Gas,True,2021-2022,Post-CSRD,4,Normal readability,355.3281443193273
Shell,2022,2023,0.0061,0.6973,0.0221,-0.0644,0.1102,Low,102,0.141,0.1624,0.2036,355391876.40775007,0.0002,4 - Stagnant,18.8017,0.1296,1.8951,0.455,232,1.7659,23218,0,Oil & Gas,True,2022-2023,Post-CSRD,4,Normal readability,355.3918764077501
TotalEnergies,2016,2017,0.0183,0.6599,0.0686,0.0119,0.1651,High,52,0.141,0.1624,0.2036,806411932.4040816,0.0143,2 - Greenwashing signal,16.326,0.1611,1.3229,0.7636,38,0.8819,18142,0,Oil & Gas,True,2016-2017,Pre-CSRD,2,Normal readability,806.4119324040815
