firm_name,year_from,year_to,sbert_drift,jaccard_overlap,lda_jsd,vader_delta,veris_score,veris_band,veris_rank,veris_q25,veris_q50,veris_q75
Glencore,2018,2019,0.0084,0.6488,0.1533,0.1074,0.1807,High,41,0.141,0.1624,0.2036
Glencore,2019,2020,0.0129,0.6709,0.0902,0.0344,0.1599,Medium,58,0.141,0.1624,0.2036
Glencore,2020,2021,0.0142,0.6723,0.0044,-0.0927,0.1203,Low,97,0.141,0.1624,0.2036
Glencore,2021,2022,0.0262,0.6373,0.1982,0.0145,0.2027,High,30,0.141,0.1624,0.2036
Glencore,2022,2023,0.0085,0.663,0.1234,-0.1968,0.0908,Low,105,0.141,0.1624,0.2036
Glencore,2023,2024,0.0047,0.7368,0.0124,0.199,0.1929,High,35,0.141,0.1624,0.2036
Repsol,2017,2018,0.0077,0.6727,0.0313,-0.0267,0.127,Low,91,0.141,0.1624,0.2036
Repsol,2018,2019,0.0146,0.6387,0.2495,-0.057,0.1602,Medium,57,0.141,0.1624,0.2036
Repsol,2019,2020,0.0245,0.636,0.2306,0.0224,0.2035,High,28,0.141,0.1624,0.2036
Repsol,2020,2021,0.0115,0.6656,0.1122,0.1501,0.1945,High,34,0.141,0.1624,0.2036
Repsol,2021,2022,0.0057,0.7016,0.1693,-0.1275,0.1065,Low,103,0.141,0.1624,0.2036
Repsol,2022,2023,0.0053,0.7129,0.0009,0.0445,0.1445,Medium,77,0.141,0.1624,0.2036
Repsol,2023,2024,0.0031,0.7103,0.0,-0.0431,0.1125,Low,100,0.141,0.1624,0.2036
RioTinto,2014,2015,0.0144,0.6553,0.0715,0.0145,0.1565,Medium,61,0.141,0.1624,0.2036
RioTinto,2015,2016,0.0127,0.6303,0.0595,0.0171,0.154,Medium,63,0.141,0.1624,0.2036
RioTinto,2016,2017,0.0113,0.6771,0.0053,-0.0563,0.1235,Low,95,0.141,0.1624,0.2036
RioTinto,2017,2018,0.0252,0.634,0.0624,0.1227,0.2155,Very High,24,0.141,0.1624,0.2036
RioTinto,2018,2019,0.1557,0.5757,0.8988,0.0523,0.8434,Very High,4,0.141,0.1624,0.2036
RioTinto,2019,2020,0.0223,0.6815,0.1073,-0.0136,0.1718,High,44,0.141,0.1624,0.2036
RioTinto,2020,2021,0.0443,0.6157,0.3671,0.0437,0.2958,Very High,12,0.141,0.1624,0.2036
RioTinto,2021,2022,0.0125,0.6498,0.1524,-0.005,0.1542,Medium,62,0.141,0.1624,0.2036
RioTinto,2022,2023,0.1313,0.5019,0.9972,-0.2185,0.7018,Very High,5,0.141,0.1624,0.2036
RioTinto,2023,2024,0.1623,0.5118,0.9397,0.1753,0.8935,Very High,3,0.141,0.1624,0.2036
Shell,2014,2015,0.0197,0.6539,0.0001,-0.0016,0.1625,High,53,0.141,0.1624,0.2036
Shell,2015,2016,0.0103,0.627,0.0,-0.0196,0.1357,Low,84,0.141,0.1624,0.2036
Shell,2016,2017,0.0232,0.6119,0.147,0.0423,0.1958,High,33,0.141,0.1624,0.2036
Shell,2017,2018,0.0266,0.6037,0.1162,-0.0043,0.1923,High,36,0.141,0.1624,0.2036
Shell,2018,2019,0.0257,0.6301,0.029,-0.0908,0.1624,Medium,54,0.141,0.1624,0.2036
Shell,2019,2020,0.0237,0.6261,0.2463,0.0358,0.2069,Very High,26,0.141,0.1624,0.2036
Shell,2020,2021,0.0453,0.5983,0.209,-0.0025,0.2719,Very High,13,0.141,0.1624,0.2036
Shell,2021,2022,0.0084,0.6994,0.0408,-0.0134,0.1316,Low,88,0.141,0.1624,0.2036
Shell,2022,2023,0.0061,0.6973,0.0221,-0.0644,0.1102,Low,102,0.141,0.1624,0.2036
TotalEnergies,2016,2017,0.0183,0.6599,0.0686,0.0119,0.1651,High,52,0.141,0.1624,0.2036
TotalEnergies,2017,2018,0.0062,0.688,0.056,-0.0397,0.1208,Low,96,0.141,0.1624,0.2036
TotalEnergies,2018,2019,0.0077,0.6669,0.056,0.0315,0.1475,Medium,72,0.141,0.1624,0.2036
TotalEnergies,2019,2020,0.0161,0.6707,0.0575,-0.0387,0.1434,Medium,78,0.141,0.1624,0.2036
TotalEnergies,2020,2021,0.0271,0.5412,0.4359,0.0456,0.2524,Very High,15,0.141,0.1624,0.2036
TotalEnergies,2021,2022,0.0276,0.583,0.1808,-0.0021,0.2036,Very High,27,0.141,0.1624,0.2036
TotalEnergies,2022,2023,0.0103,0.5989,0.1436,-0.0371,0.1422,Medium,79,0.141,0.1624,0.2036
TotalEnergies,2023,2024,0.0066,0.618,0.0269,-0.0273,0.1282,Low,90,0.141,0.1624,0.2036
Unilever,2014,2015,0.1828,0.5668,0.8762,0.0923,0.9282,Very High,1,0.141,0.1624,0.2036
Unilever,2015,2016,0.0072,0.6492,0.0339,0.0388,0.1489,Medium,70,0.141,0.1624,0.2036
Unilever,2016,2017,0.0154,0.6577,0.0398,-0.0216,0.1462,Medium,74,0.141,0.1624,0.2036
Unilever,2017,2018,0.0079,0.687,0.0497,0.0092,0.1393,Low,81,0.141,0.1624,0.2036
Unilever,2018,2019,0.0105,0.6453,0.0757,0.0148,0.1492,Medium,69,0.141,0.1624,0.2036
Unilever,2019,2020,0.0262,0.6352,0.2547,0.0021,0.2075,Very High,25,0.141,0.1624,0.2036
Unilever,2020,2021,0.029,0.6365,0.1452,0.001,0.203,High,29,0.141,0.1624,0.2036
Unilever,2021,2022,0.0213,0.6079,0.5072,-0.0138,0.2377,Very High,21,0.141,0.1624,0.2036
Unilever,2022,2023,0.0,1.0,0.0,0.0,0.1176,Low,98,0.141,0.1624,0.2036
Unilever,2023,2024,0.0292,0.5937,0.4375,0.0135,0.2511,Very High,16,0.141,0.1624,0.2036
