Firm,mean_rank_spread
BP,31.3
Chevron,16.4
ConocoPhillips,16.3
Eni,41.666666666666664
Equinor,23.3
ExxonMobil,13.0
Glencore,24.1
Repsol,27.714285714285715
RioTinto,14.3
Shell,23.22222222222222
TotalEnergies,19.875
Unilever,20.3
