metric,SBERT Drift,Jaccard,LDA-JSD,VADER Delta,Controversy,Social Index,Fog Index,TTR
SBERT Drift,1.0,-0.5863163212155228,0.8876296326962296,0.007446824463585762,-0.13233965334078393,0.12575092733981577,-0.022236276920600546,-0.12058273083178715
Jaccard,-0.5863163212155228,1.0,-0.5439236357022187,0.08686209372204155,-0.06062464679986631,-0.09706091162332077,-0.22371972284440567,-0.20094150566502347
LDA-JSD,0.8876296326962296,-0.5439236357022187,1.0,-0.005765352650454937,-0.16724976987384668,0.09777062691665588,-0.052397779046716525,-0.18251303675769148
VADER Delta,0.007446824463585762,0.08686209372204155,-0.005765352650454937,1.0,-0.1447356008536989,0.17900552165065609,-0.0408847332424137,-0.032162653635246424
Controversy,-0.13233965334078393,-0.06062464679986631,-0.16724976987384668,-0.1447356008536989,1.0,-0.43157281059852803,0.3084556739344789,0.2077584013031728
Social Index,0.12575092733981577,-0.09706091162332077,0.09777062691665588,0.17900552165065609,-0.43157281059852803,1.0,-0.25303843134845105,0.10009947906342842
Fog Index,-0.022236276920600546,-0.22371972284440567,-0.052397779046716525,-0.0408847332424137,0.3084556739344789,-0.25303843134845105,1.0,0.11828930547630055
TTR,-0.12058273083178715,-0.20094150566502347,-0.18251303675769148,-0.032162653635246424,0.2077584013031728,0.10009947906342842,0.11828930547630055,1.0
