Rank,firm_name,year_from,year_to,veris_score,veris_band,sbert_drift,gunning_fog_index,type_token_ratio,emissions_delta_pct,greenwashing_quadrant,gap_score,year_label
50,ExxonMobil,2017,2018,0.15,Medium,0.013,17.2181,0.1604,0.0116,4 - Stagnant,0.1616,2017-2018
51,Eni,2015,2016,0.1495,Medium,0.0139,20.6225,0.1777,0.0439,4 - Stagnant,0.1934,2015-2016
52,TotalEnergies,2018,2019,0.1475,Medium,0.0077,16.5161,0.1469,0.0198,4 - Stagnant,0.1673,2018-2019
53,Eni,2023,2024,0.1469,Medium,0.0169,22.5111,0.1444,-0.0763,3 - Greenhushing,0.2232,2023-2024
54,BP,2023,2024,0.145,Medium,0.0113,18.3748,0.1255,-0.027,3 - Greenhushing,0.172,2023-2024
55,BP,2016,2017,0.1447,Medium,0.0077,15.8763,0.1414,-0.0034,3 - Greenhushing,0.1481,2016-2017
56,Repsol,2022,2023,0.1445,Medium,0.0053,18.0301,0.1371,0.0638,4 - Stagnant,0.2083,2022-2023
57,TotalEnergies,2019,2020,0.1434,Medium,0.0161,17.547,0.1455,-0.0673,3 - Greenhushing,0.2107,2019-2020
58,TotalEnergies,2022,2023,0.1422,Medium,0.0103,17.2252,0.1543,0.0056,4 - Stagnant,0.1478,2022-2023
59,ConocoPhillips,2015,2016,0.1406,Low,0.0119,18.0338,0.1802,0.0058,4 - Stagnant,0.1464,2015-2016
60,ConocoPhillips,2021,2022,0.1377,Low,0.0045,20.7638,0.1331,0.0388,4 - Stagnant,0.1765,2021-2022
61,Chevron,2022,2023,0.1373,Low,0.0084,18.7215,0.1547,-0.0207,3 - Greenhushing,0.158,2022-2023
62,Shell,2015,2016,0.1357,Low,0.0103,18.1872,0.1587,-0.0012,3 - Greenhushing,0.1369,2015-2016
63,Chevron,2016,2017,0.1344,Low,0.0084,17.1025,0.1968,0.0174,4 - Stagnant,0.1518,2016-2017
64,BP,2022,2023,0.133,Low,0.007,18.1969,0.1239,-0.002,3 - Greenhushing,0.135,2022-2023
65,BP,2015,2016,0.1319,Low,0.0095,16.3946,0.1395,0.0152,4 - Stagnant,0.1471,2015-2016
66,Shell,2021,2022,0.1316,Low,0.0084,18.4096,0.1296,0.0246,4 - Stagnant,0.1562,2021-2022
67,TotalEnergies,2023,2024,0.1282,Low,0.0066,17.9145,0.1395,-0.0261,3 - Greenhushing,0.1543,2023-2024
68,Repsol,2017,2018,0.127,Low,0.0077,16.8511,0.1328,0.0043,4 - Stagnant,0.1313,2017-2018
69,Equinor,2019,2020,0.1246,Low,0.0071,18.6344,0.1277,-0.0373,3 - Greenhushing,0.1619,2019-2020
70,RioTinto,2016,2017,0.1235,Low,0.0113,17.9004,0.1362,0.0034,4 - Stagnant,0.1269,2016-2017
71,TotalEnergies,2017,2018,0.1208,Low,0.0062,16.0028,0.1504,0.0069,4 - Stagnant,0.1277,2017-2018
72,Glencore,2015,2016,0.1175,Low,0.0182,20.1898,0.1303,0.0051,4 - Stagnant,0.1226,2015-2016
73,Repsol,2023,2024,0.1125,Low,0.0031,17.6638,0.1419,-0.0135,3 - Greenhushing,0.126,2023-2024
74,Equinor,2016,2017,0.1116,Low,0.0101,19.5185,0.1276,0.0041,4 - Stagnant,0.1157,2016-2017
75,Shell,2022,2023,0.1102,Low,0.0061,18.8017,0.1296,0.0002,4 - Stagnant,0.1104,2022-2023
76,Repsol,2021,2022,0.1065,Low,0.0057,18.1052,0.1371,0.0964,4 - Stagnant,0.2029,2021-2022
77,Chevron,2015,2016,0.103,Low,0.0077,16.4686,0.1877,0.0025,4 - Stagnant,0.1055,2015-2016
78,Glencore,2022,2023,0.0908,Low,0.0085,21.2662,0.1317,0.0316,4 - Stagnant,0.1224,2022-2023
79,ConocoPhillips,2023,2024,0.0786,Low,0.0044,19.7418,0.1313,-0.0041,3 - Greenhushing,0.0827,2023-2024
